733:Dimitris Saravakos
734:Diego Maradona
735:Ion Andoni Goikoetxea
736:Rashidi Yekini
737:Gaston Taument
738:Mustafa El Haddaoui
739:David Embé
740:François Omam-Biyik
741:Roger Ljung
742:Eric Wynalda
743:Georges Bregy
744:Ray Houghton
745:Miguel Ángel Nadal
746:Julio Salinas
747:Seo Jung-won
748:Giuseppe Bergomi
749:Peter Shilton
750:David Platt
751:Terry Butcher
752:Andreas Brehme
753:Gary Lineker
754:Salvatore Schillaci
755:Ivan Hašek
756:Eugène Ekéké
757:Zlatko Vujović
758:Mick McCarthy
759:Emilio Butragueño
760:Jan Ceulemans
761:Paul McGrath
762:Silviu Lung
763:Enzo Francescoli
764:Aldo Serena
765:Ricardo Gomes
766:Ruud Gullit
767:Bernardo Redín
768:Róger Flores
769:Tomáš Skuhravý
770:Luboš Kubík
771:Rónald González Brenes
772:Patrick Vervoort
773:Alberto Górriz
774:Choi Soon-ho
775:Daniel Fonseca
776:Niall Quinn
777:Ruud Gullit
778:Gamal Abdel-Hameed
779:Glenn Hysén
780:Johnny Ekström
781:Róger Flores
782:Hernán Medford
783:Roy Aitken
784:Pierre Littbarski
785:Freddy Rincón
786:Abdulrahman Mohamed
787:Safet Sušić
788:Darko Pančev
789:Ali Thani Jumaa
790:Toni Polster
791:Mike Windischmann
792:Andreas Ogris
793:Gerhard Rodax
794:Bruce Murray
795:Pedro Monzón
796:Gabi Balint
797:Anatoliy Demyanenko
798:Oleh Protasov
799:Andrei Zygmantovich
800:Oleksandr Zavarov
801:Igor Dobrovolski
802:Rabie Yassin
803:Lei Clijsters
804:Enzo Scifo
805:Jan Ceulemans
806:Pablo Bengoechea
807:Hwangbo Kwan
808:Míchel
809:Bryan Robson
810:Glenn Strömberg
811:Stuart McCall
812:Lothar Matthäus
813:Uwe Bein
814:Khalid Ismaïl
815:Oleh Kuznetsov
816:Pedro Troglio
817:Jorge Burruchaga
818:Eric Gerets
819:Chung Yong-hwan
820:Marc Degryse
821:Michel De Wolf
822:Kevin Sheedy
823:Paul Caligiuri
824:Ivan Hašek
825:Milan Luhový
826:Davor Jozić
827:Careca
828:Fahad Khamees
829:Carlos Valderrama
830:Rinat Dasayev
831:Marius Lăcătuș
832:Karl-Heinz Rummenigge
833:José Luis Brown
834:Jorge Valdano
835:Karl-Heinz Rummenigge
836:Patrick Battiston
837:Jean-Marc Ferreri
838:Jean-Pierre Papin
839:Bernard Genghini
840:Nico Claesen
841:Michel Platini
842:José Antonio Camacho
843:Juan Antonio Señor
844:Edinho
845:Michel Platini
846:Tomás Boy
847:Rogelio Delgado
848:Peter Beardsley
849:Morten Olsen
850:Emilio Butragueño
851:Gaetano Scirea
852:Yannick Stopyra
853:Ezzaki Badou
854:Zbigniew Boniek
855:Josimar
856:Jorge Barrios
857:Georgi Dimitrov
858:Manuel Negrete Arias
859:Raúl Servín
860:Igor Belanov
861:Stéphane Demol
862:Willie Miller
863:Harald Schumacher
864:Mahmoud Guendouz
865:Ramón Calderé
866:Eloy Olaya
867:Sammy McIlroy
868:Roberto Cabañas
869:Franky Vercauteren
870:Daniel Veyt
