672:312,40
673:416,55
674:303,79
675:436,19
676:430,7
677:417,56
678:417,78
679:418,88
680:430,33
681:419,119
682:420,120+1
683:421,57
684:273,80
685:422,49
686:423,6
687:424,59
688:424,69
689:425,5
690:426,45+1
691:427,84
692:428,41
693:429,83
694:430,90+2
695:299,28
696:357,4
697:357,12
698:431,10
699:303,6
700:432,36
701:429,55
702:421,61
703:433,23
704:434,77
705:435,22
706:312,43
707:436,26
708:437,87
709:438,34
710:425,45+1
711:439,53
712:440,59
713:425,81
714:441,2
715:442,56
716:443,79
718:444,6
719:445,29
720:446,75
721:447,60
722:448,67
723:449,10
724:449,20
725:450,20
726:448,37
728:451,25
729:452,33
730:452,66
731:273,4
732:273,44
733:357,57
734:453,51
735:454,90
736:455,34
737:415,85
738:434,16
739:456,88
740:457,4
741:458,36
742:459,46
743:460,84
744:461,71
745:300,76
746:462,8
747:300,90+1
748:426,49
749:306,90
750:421,9
751:414,81
752:287,2
753:354,82
754:463,6
755:464,31
756:463,41
757:431,78
758:359,84
759:4,88
763:325,23
764:465,27
765:466,38
766:467,8
767:468,54
768:469,90+2
769:470,83
770:415,90+1
771:471,13
772:299,17
773:300,81
774:299,48
775:472,23
776:473,90+2
777:474,57
778:475,84
779:476,54
780:477,72
781:478,31
782:323,84
783:323,89
784:479,90+2
785:480,26
786:481,5
787:482,36
788:482,76
789:483,40
790:484,83
791:324,18
792:485,28
793:485,76
794:486,79
795:487,36
796:488,4
797:431,24
798:489,38
799:394,82
800:490,6
801:273,17
802:273,61
803:491,87
804:492,12
805:492,73
809:467,24
810:468,80
811:425,67
812:425,79
813:493,9
814:494,90+3
815:495,1
816:496,13
817:496,32
818:496,94
819:497,23
820:498,45+2
821:499,50
822:500,12
823:501,88
824:477,117
825:502,18
826:503,8
827:401,65
828:498,67
829:425,87
830:454,11
831:504,37
832:504,104
833:545,8
834:532,90
835:505,5
836:497,22
837:506,44
838:507,48
839:508,75
840:509,7
841:510,78
842:511,82
843:512,52
844:513,88
845:414,70
846:514,3
847:515,5
848:516,66
849:401,83
850:492,39
851:451,56
852:425,10
853:425,13
854:517,38
855:498,62
856:518,64
863:519,6
864:520,9
865:500,85
866:521,34
867:420,85
868:522,59
869:431,88
870:523,31
871:524,53
872:461,4
873:525,45+1
874:461,56
875:526,45+1
876:527,65
877:528,73
878:527,84
879:397,22
880:371,67
881:529,20
882:530,26
883:530,38
884:531,46
885:347,69
886:532,7
887:533,61
888:534,87
889:535,50
890:273,79
891:477,78
892:536,24
893:537,17
894:511,13
895:488,14
896:488,65
897:488,77
898:538,88
899:521,28
900:539,57
901:468,5
902:540,86
903:541,56
904:502,55
905:328,73
906:542,76
907:543,15
908:498,32
909:425,55
910:499,45
911:454,35
912:544,27
913:545,53
914:545,69
915:639,83
916:598,44
917:546,52
918:547,4
919:503,36
920:548,39
921:273,19
922:532,90+2
923:451,61
924:549,65
925:550,59
926:551,67
927:511,57
928:552,75
929:553,26
930:554,53
932:425,50
933:519,45+2
934:502,7
935:502,27
936:555,39
937:556,55
938:557,63
940:558,24
941:559,59
942:461,44
943:560,74
944:561,82
945:639,87
946:562,52
947:563,39
948:564,47
949:371,45
950:371,83
951:273,20
952:273,25
953:565,40
954:566,45+1
955:273,70
956:567,72
957:568,84
958:569,90+2
965:570,30
966:430,27
967:430,45
968:571,90
969:572,21
970:573,13
971:574,35
972:575,47
973:575,70
974:574,46
975:425,46
976:576,87
977:576,12
978:577,89
979:578,17
980:579,45
981:580,80
982:574,85
983:581,10
984:498,27
985:498,60
986:582,2
987:583,50
988:574,45
989:584,45
990:497,16
991:634,9
992:585,75
993:568,86
994:586,47
995:577,38
996:587,90
997:588,48
998:589,77
999:590,3
1000:583,12
1001:591,60
1002:592,76
1003:593,11
1004:593,26
1005:425,70
1006:594,68
1007:425,45
1008:595,74
1009:596,39
1010:596,54
1011:616,72
1013:597,20
1014:598,29
1015:599,4
1016:600,18
1017:601,75
1018:602,90
1019:603,7
1020:554,71
1021:588,4
1022:568,50
1023:585,58
1025:475,45
1027:571,57
1028:895,42
1029:604,18
1030:545,55
1031:545,81
1032:605,90
1033:606,58
1035:607,11
1036:608,1
1037:609,59
1038:610,86
1039:502,49
1040:611,90
1042:612,20
1043:563,56
1044:581,78
1045:613,83
1047:614,23
1048:615,47
1049:614,85
