Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1441;Max Kruse;GER;FWMF;Union Berlin;Bundesliga;3416;16;1270;0.35;1.91;0.57
1442;Lukas K�bler;GER;DF;Freiburg;Bundesliga;2929;27;2327;0.08;0.5;0.23
1443;Takefusa Kubo;JPN;FWMF;Mallorca;La Liga;2028;17;1605;0.06;2.75;0.51
1444;Juraj Kucka;SVK;MF;Watford;Premier League;3526;22;1920;0.05;2.16;0.52
1445;Mykola Kukharevych;UKR;FW;Troyes;Ligue 1;202;0;15;0;5;0
1446;Dejan Kulusevski;SWE;MFFW;Tottenham;Premier League;2218;14;1261;0.36;1.86;0.64
1447;Dejan Kulusevski;SWE;FWMF;Juventus;Serie A;2220;5;772;0.12;2.09;0.7
1448;Marash Kumbulla;ALB;DF;Roma;Serie A;2217;13;1025;0;0.61;0.26
1449;Fabian Kunze;GER;MF;Arminia;Bundesliga;2322;13;1260;0;0.79;0.07
1450;Enock Kwateng;FRA;DF;Bordeaux;Ligue 1;2529;22;2002;0.05;0.32;0.14
1451;Grejohn Kyei;FRA;FW;Clermont Foot;Ligue 1;2614;4;396;0;2.5;0.68
1452;Giorgos Kyriakopoulos;GRE;DFFW;Sassuolo;Serie A;2629;22;1975;0;1.37;0.46
1453;Andrea La Mantia;ITA;FW;Empoli;Serie A;3118;3;488;0.37;3.15;0.56
1454;Ga�tan Laborde;FRA;FW;Rennes;Ligue 1;2834;32;2729;0.4;2.74;1.06
1455;Ga�tan Laborde;FRA;FW;Montpellier;Ligue 1;284;4;341;0.79;3.42;1.32
1456;Alexandre Lacazette;FRA;FWMF;Arsenal;Premier League;3130;20;1782;0.2;2.17;0.61
1457;Tom Lacoux;FRA;DFMF;Bordeaux;Ligue 1;2013;11;907;0;0.2;0
1458;Lenny Lacroix;FRA;DF;Metz;Ligue 1;193;2;200;0;0.91;0
1459;Maxence Lacroix;FRA;DF;Wolfsburg;Bundesliga;2229;29;2491;0;0.65;0.11
1460;Alban Lafont;FRA;GK;Nantes;Ligue 1;2338;38;3420;0;0;0
1461;V�ctor Laguardia;ESP;DF;Alav�s;La Liga;3234;34;3042;0.09;0.41;0.15
1462;Konrad Laimer;AUT;MF;RB Leipzig;Bundesliga;2526;15;1240;0.29;1.16;0.51
1463;Stefan Lainer;AUT;DF;M'Gladbach;Bundesliga;2921;19;1471;0.06;0.74;0.12
1464;Diego Lainez;MEX;FW;Betis;La Liga;217;1;140;0;0.63;0.63
1465;Adam Lallana;ENG;MF;Brighton;Premier League;3424;18;1561;0;1.16;0.23
1466;Vassilis Lambropoulos;GRE;DF;Bochum;Bundesliga;3213;13;1168;0;0.31;0.08
1467;�rik Lamela;ARG;FW;Sevilla;La Liga;3020;10;1015;0.44;1.95;1.06
1468;Didier Lamkel Z�;CMR;FW;Metz;Ligue 1;259;8;605;0.45;2.09;1.04
1469;Sam Lammers;NED;FW;Eint Frankfurt;Bundesliga;2515;5;517;0.18;2.11;0.7
1470;Sam Lammers;NED;FW;Atalanta;Serie A;252;0;38;0;0;0
1471;Tariq Lamptey;ENG;DFFW;Brighton;Premier League;2130;16;1561;0;1.1;0.23
1472;Manuel Lanzini;ARG;MFFW;West Ham;Premier League;2930;19;1786;0.25;0.66;0.2
1473;Aymeric Laporte;ESP;DF;Manchester City;Premier League;2833;33;2828;0.13;1.11;0.22
1474;Julien Laporte;FRA;DF;Lorient;Ligue 1;2833;33;2891;0.06;0.53;0.09
1475;Yasser Larouci;ALG;DF;Troyes;Ligue 1;2112;2;341;0;0.79;0.26
1476;Kevin Lasagna;ITA;FWMF;Hellas Verona;Serie A;2928;11;1184;0.15;3.11;1.21
1477;Jamaal Lascelles;ENG;DF;Newcastle Utd;Premier League;2826;22;2058;0.04;0.7;0.13
1478;Bryan Lasme;FRA;FW;Arminia;Bundesliga;2323;7;877;0.21;1.44;0.72
1479;Paul Lasne;FRA;MF;Brest;Ligue 1;3315;9;847;0;0.85;0.11
1480;Latasa;ESP;FW;Real Madrid;La Liga;211;0;9;0;10;0
1481;Toni Lato;ESP;DFMF;Valencia;La Liga;2411;7;590;0;0;0
1482;Armand Lauriente;FRA;FWMF;Lorient;Ligue 1;2335;28;2477;0.22;3.09;1.35
1483;Darko Lazovi?;SRB;DF;Hellas Verona;Serie A;3134;32;2766;0.03;1.5;0.33
1484;Manuel Lazzari;ITA;DF;Lazio;Serie A;2831;16;1665;0.16;0.65;0.32
1485;Th�o Le Bris;FRA;MF;Lorient;Ligue 1;194;0;61;0;0;0
1486;J�r�my Le Douaron;FRA;FW;Brest;Ligue 1;2432;16;1446;0.31;2.3;0.99
1487;Enzo Le F�e;FRA;MFFW;Lorient;Ligue 1;2236;25;2194;0.04;1.35;0.37
1488;Vincent Le Goff;FRA;DF;Lorient;Ligue 1;3234;34;3060;0.03;0.76;0.12
1489;Maxime Le Marchand;FRA;DF;Strasbourg;Ligue 1;3212;9;860;0.1;0.31;0.21
1490;Robin Le Normand;FRA;DF;Real Sociedad;La Liga;2537;37;3330;0.03;0.49;0.11
1491;Patrick Leal;USA;MF;Venezia;Serie A;191;0;2;0;0;0
1492;Rafael Le�o;POR;FW;Milan;Serie A;2234;31;2605;0.38;3.36;1.31
1493;Jean-Louis Leca;FRA;GK;Lens;Ligue 1;3627;27;2313;0;0.04;0
1494;Jerem�as Ledesma;ARG;GK;C�diz;La Liga;2938;38;3420;0;0.03;0.03
1495;Pierre Lees-Melou;FRA;MF;Norwich City;Premier League;2933;27;2265;0.04;1.31;0.36
1496;Wu Lei;CHN;FWMF;Espanyol;La Liga;3023;4;474;0.19;1.32;0.94
1497;Maxim Leitsch;GER;DF;Bochum;Bundesliga;2419;17;1538;0.06;0.29;0.06
1498;Lucas Leiva;BRA;MF;Lazio;Serie A;3535;19;1697;0;0.16;0
1499;Florian Lejeune;FRA;DF;Alav�s;La Liga;3130;30;2699;0;0.73;0.07
1500;I�igo Lekue;ESP;DF;Athletic Club;La Liga;2925;22;1925;0;0.33;0.05
1501;Thomas Lemar;FRA;MF;Atl�tico Madrid;La Liga;2624;17;1440;0.25;1.81;0.5
1502;F�lix Lemar�chal;CIV;MF;Monaco;Ligue 1;181;0;9;0;0;0
1503;Mario Lemina;GAB;MF;Nice;Ligue 1;2832;24;1967;0.09;0.73;0.18
1504;Fabien Lemoine;FRA;MF;Lorient;Ligue 1;3521;13;1117;0;0.32;0
1505;Tim Lemperle;GER;FWMF;K�ln;Bundesliga;2013;0;149;1.18;4.12;1.76
1506;Ruben Lendinez;ESP;DF;Valencia;La Liga;194;1;137;0;0.67;0
1507;Cl�ment Lenglet;FRA;DF;Barcelona;La Liga;2621;7;826;0;0.22;0.11
1508;Aaron Lennon;ENG;MF;Burnley;Premier League;3528;17;1551;0.12;0.7;0.23
1509;Bernd Leno;GER;GK;Arsenal;Premier League;304;4;360;0;0;0
1510;Christopher Lenz;GER;DF;Eint Frankfurt;Bundesliga;2715;6;664;0;0.68;0
1511;L�o Leroy;FRA;MF;Montpellier;Ligue 1;2224;7;626;0;1.14;0.29
1512;Alexandre Letellier;FRA;GK;Paris S-G;Ligue 1;311;0;8;0;0;0
1513;Robert Lewandowski;POL;FW;Bayern Munich;Bundesliga;3334;34;2946;1.07;4.8;2.35
1514;Jamie Leweling;GER;FWDF;Greuther F�rth;Bundesliga;2133;22;1959;0.23;2.06;0.73
1515;Jamal Lewis;NIR;DF;Newcastle Utd;Premier League;245;4;262;0;0;0
1516;Luca Lezzerini;ITA;GK;Venezia;Serie A;276;6;495;0;0;0
1517;Ben Lhassine Kone;CIV;MF;Torino;Serie A;221;0;81;0;0;0
1518;Yanis Lhery;FRA;FWMF;Saint-�tienne;Ligue 1;195;0;72;0;3.75;1.25
1519;Dimitri Li�nard;FRA;DFMF;Strasbourg;Ligue 1;3433;23;2044;0.09;1.06;0.13
1520;Philipp Lienhart;AUT;DF;Freiburg;Bundesliga;2532;32;2870;0.16;0.6;0.22
1521;Matthijs de Ligt;NED;DF;Juventus;Serie A;2231;29;2674;0.1;0.67;0.34
1522;Isaac Lihadji;FRA;MFFW;Lille;Ligue 1;2013;2;238;0.38;1.15;0.77
1523;Anderson Lima;BRA;MF;Lazio;Serie A;224;0;65;0;1.43;0
1524;Andreas Linde;SWE;GK;Greuther F�rth;Bundesliga;2812;12;1080;0;0;0
1525;Victor Lindel�f;SWE;DF;Manchester Utd;Premier League;2728;26;2355;0;0.15;0.08
1526;Jesper Lindstr�m;DEN;FWMF;Eint Frankfurt;Bundesliga;2229;26;1976;0.23;2.5;0.82
1527;Karol Linetty;POL;MFFW;Torino;Serie A;2716;11;896;0;1.3;0.2
1528;Jesse Lingard;ENG;FWMF;Manchester Utd;Premier League;2916;2;367;0.49;1.95;1.46
1529;Pol Lirola;ESP;DFMF;Marseille;Ligue 1;2434;19;1770;0.05;0.66;0.1
1530;Valentino Livramento;ENG;DF;Southampton;Premier League;1928;25;2202;0.04;0.49;0.12
1531;Dejan Ljubicic;AUT;MFFW;K�ln;Bundesliga;2430;22;1969;0.14;1.32;0.32
1532;Javier Llabr�s;;FWMF;Mallorca;La Liga;5;1;132;0;3.33;1.33
1533;Diego Llorente;ESP;DF;Leeds United;Premier League;2828;28;2340;0.12;0.38;0.12
1534;Marcos Llorente;ESP;DFMF;Atl�tico Madrid;La Liga;2729;29;2447;0;0.59;0.07
1535;Hugo Lloris;FRA;GK;Tottenham;Premier League;3538;38;3420;0;0;0
1536;Giovani Lo Celso;ARG;MFFW;Tottenham;Premier League;269;2;238;0;3.46;0
1537;Giovani Lo Celso;ARG;FWMF;Villarreal;La Liga;2616;11;994;0.09;1.73;0.55
1538;Julen Lobete;ESP;FWMF;Real Sociedad;La Liga;2113;2;284;0.63;3.13;0.63
1539;Stanislav Lobotka;SVK;MF;Napoli;Serie A;2723;19;1686;0.05;0.11;0.05
1540;J�rgen Locadia;NED;FWMF;Bochum;Bundesliga;2811;4;444;0.41;3.47;1.43
1541;J�rgen Locadia;NED;FW;Brighton;Premier League;281;0;23;0;3.33;0
1542;Manuel Locatelli;ITA;MF;Juventus;Serie A;2431;23;2160;0.13;0.88;0.13
1543;Banzouzi Locko;FRA;DFMF;Reims;Ligue 1;2024;11;1011;0.09;0.63;0.18
1544;Renan Lodi;BRA;DF;Atl�tico Madrid;La Liga;2429;13;1181;0.15;0.76;0.31
1545;Ruben Loftus-Cheek;ENG;MFDF;Chelsea;Premier League;2624;13;1394;0;1.23;0.39
1546;Kevin Long;IRL;DF;Burnley;Premier League;316;4;410;0;0.87;0
1547;Shane Long;IRL;FW;Southampton;Premier League;3513;3;308;0.29;2.65;1.47
1548;Sean Longstaff;ENG;MF;Newcastle Utd;Premier League;2424;15;1464;0.06;0.92;0.12
1549;Ademola Lookman;NGA;FWMF;Leicester City;Premier League;2426;16;1453;0.37;1.68;0.75
1550;Anthony Lopes;POR;GK;Lyon;Ligue 1;3134;34;2982;0;0;0
1551;David L�pez;ESP;MFDF;Espanyol;La Liga;3218;8;743;0;0.6;0.48
1552;Diego L�pez;ESP;GK;Espanyol;La Liga;4036;36;3177;0;0;0
1553;Javi L�pez;ESP;DF;Alav�s;La Liga;209;4;462;0;0;0
1554;Maxime Lopez;FRA;MF;Sassuolo;Serie A;2435;33;2938;0.06;0.49;0.18
1555;Pau L�pez;ESP;GK;Marseille;Ligue 1;2729;29;2610;0;0;0
1556;Unai L�pez;ESP;MF;Rayo Vallecano;La Liga;2627;13;1160;0;1.47;0.54
1557;Dion Lopy;SEN;MF;Reims;Ligue 1;2026;19;1642;0;0.88;0.11
1558;Samuel Loric;FRA;DF;Lorient;Ligue 1;213;3;269;0;0.33;0
1559;Anthony Losilla;FRA;MF;Bochum;Bundesliga;3633;33;2935;0.06;1.01;0.28
1560;Jonas L�ssl;DEN;GK;Brentford;Premier League;332;2;180;0;0;0
1561;Marcel Lotka;POL;GK;Hertha BSC;Bundesliga;2110;9;885;0;0;0
1562;Jordan Lotomba;SUI;DF;Nice;Ligue 1;2330;19;1782;0;0.45;0.1
1563;Johaneko Louisjean;FRA;DF;Bordeaux;Ligue 1;171;0;12;0;0;0
1564;Imran Louza;MAR;MF;Watford;Premier League;2320;17;1416;0;1.08;0.25
1565;Matteo Lovato;ITA;DFMF;Atalanta;Serie A;226;3;305;0;0.29;0
1566;Matteo Lovato;ITA;DF;Cagliari;Serie A;2216;14;1238;0;0.36;0.07
1567;Eduard L�wen;GER;MF;Bochum;Bundesliga;2526;15;1416;0.13;2.36;0.83
1568;Matthew Lowton;ENG;DF;Burnley;Premier League;3225;20;1772;0.05;0.51;0.1
1569;Anthony Lozano;HON;FWMF;C�diz;La Liga;2931;21;1672;0.38;2.63;1.08
1570;Hirving Lozano;MEX;FW;Napoli;Serie A;2630;20;1613;0.28;2.85;1.06
1571;Jean Lucas;BRA;MF;Monaco;Ligue 1;2328;18;1445;0.06;1.61;0.56
1572;Anderson Lucoqui;ANG;DF;Mainz 05;Bundesliga;2413;9;743;0.12;0.96;0.48
1573;Jos� Luis Gay�;ESP;DF;Valencia;La Liga;2724;22;1871;0.1;0.87;0.43
1574;Jos� Luis Morales;ESP;FWMF;Levante;La Liga;3435;31;2719;0.43;2.52;1.06
1575;Jos� Luis Palomino;ARG;DF;Atalanta;Serie A;3234;30;2672;0.03;0.47;0.1
1576;Florentino Lu�s;POR;MF;Getafe;La Liga;2222;9;992;0;0.27;0.09
1577;Luismi;ESP;FW;Sevilla;La Liga;212;0;13;0;0;0
1578;Douglas Luiz;BRA;MF;Aston Villa;Premier League;2434;31;2715;0.07;0.76;0.26
1579;Romelu Lukaku;BEL;FW;Chelsea;Premier League;2926;16;1589;0.45;2.37;0.73
1580;Castello Lukeba;FRA;DF;Lyon;Ligue 1;1924;24;2095;0.09;0.26;0.13
1581;Dodi Lukebakio;BEL;FW;Hertha BSC;Bundesliga;243;2;176;0.5;1.5;0.5
1582;Dodi Lukebakio;BEL;FWMF;Wolfsburg;Bundesliga;2419;7;882;0.1;1.73;0.71
1583;Sa�a Luki?;SRB;MF;Torino;Serie A;2535;34;2982;0.15;0.88;0.21
1584;Levi Lumeka;ENG;DFFW;Troyes;Ligue 1;235;0;67;0;0;0
1585;Andriy Lunin;UKR;GK;Real Madrid;La Liga;232;2;180;0;0;0
1586;Andrey Lunyov;RUS;GK;Leverkusen;Bundesliga;301;1;90;0;0;0
1587;Sebastiano Luperto;ITA;DF;Empoli;Serie A;2524;22;1958;0;0.41;0.14
1588;Andreas Luthe;GER;GK;Union Berlin;Bundesliga;3527;27;2430;0;0;0
1589;Lyanco;BRA;DF;Southampton;Premier League;2515;9;911;0;0.59;0
1590;Charalambos Lykogiannis;GRE;DF;Cagliari;Serie A;2828;21;1817;0.05;1.04;0.35
1591;Yannis M'Bemba;FRA;DFFW;Nantes;Ligue 1;202;0;5;0;20;10
1592;Alexis Mac Allister;ARG;MFFW;Brighton;Premier League;2333;22;2123;0.21;2.42;0.38
1593;Deiver Machado;COL;DF;Lens;Ligue 1;2822;5;523;0;0.34;0
1594;Darwin Mach�s;VEN;MFFW;Granada;La Liga;2925;16;1376;0.26;2.48;1.11
1595;Yvann Macon;FRA;DF;Saint-�tienne;Ligue 1;2322;19;1529;0;0.88;0.24
1596;James Maddison;ENG;MFFW;Leicester City;Premier League;2535;28;2459;0.44;2.67;1.21
1597;Niki M�enp��;FIN;GK;Venezia;Serie A;3717;16;1485;0;0;0
1598;Pablo Maffeo;ESP;DF;Mallorca;La Liga;2435;35;2945;0.03;0.89;0.21
1599;Louis Mafouta;CTA;FW;Metz;Ligue 1;2715;5;525;0.34;1.55;1.21
1600;Giulio Maggiore;ITA;MF;Spezia;Serie A;2435;33;2819;0.06;1.34;0.26
1601;Matej Maglica;CRO;DF;Stuttgart;Bundesliga;231;0;6;0;0;0
1602;Francesco Magnanelli;ITA;MF;Sassuolo;Serie A;3712;2;271;0;0.67;0
1603;Giangiacomo Magnani;ITA;DF;Sampdoria;Serie A;264;3;239;0;0;0
1604;Giangiacomo Magnani;ITA;DF;Hellas Verona;Serie A;2614;5;530;0;0.85;0.17
1605;Hugo Magnetti;FRA;MF;Brest;Ligue 1;2328;16;1463;0;1.1;0.12
1606;Yohann Magnin;FRA;MFDF;Clermont Foot;Ligue 1;2424;19;1717;0.05;0.99;0.16
1607;Harry Maguire;ENG;DF;Manchester Utd;Premier League;2930;28;2515;0.04;0.82;0.36
1608;Riyad Mahrez;ALG;FW;Manchester City;Premier League;3128;15;1498;0.66;3.37;1.08
1609;Arne Maier;GER;MF;Augsburg;Bundesliga;2329;21;1864;0.05;0.82;0.39
1610;Habib Ma�ga;CIV;MFFW;Metz;Ligue 1;2617;16;1267;0.14;0.78;0.35
1611;Mike Maignan;FRA;GK;Milan;Serie A;2632;32;2880;0;0;0
1612;Ainsley Maitland-Niles;ENG;DF;Roma;Serie A;248;7;487;0;0.56;0.37
1613;Ainsley Maitland-Niles;ENG;MF;Arsenal;Premier League;248;2;268;0;0.67;0
1614;Josh Maja;NGA;FW;Bordeaux;Ligue 1;232;0;9;0;0;0
1615;Abdul Majeed Waris;GHA;MFFW;Strasbourg;Ligue 1;3015;2;327;0.56;1.94;0.83
1616;Lovro Majer;CRO;MF;Rennes;Ligue 1;2429;21;1832;0.29;2.21;0.88
1617;Jean-Victor Makengo;FRA;MF;Udinese;Serie A;2333;26;2351;0.04;1.23;0.38
1618;B�ni Makouana;CGO;FWMF;Montpellier;Ligue 1;1923;1;322;0;1.94;0
1619;Nemanja Maksimovi?;SRB;MF;Getafe;La Liga;2735;34;2936;0.03;0.92;0.15
1620;Nikola Maksimovi?;SRB;DF;Genoa;Serie A;3014;13;1115;0;0.24;0
1621;K�vin Malcuit;MAR;DF;Napoli;Serie A;308;2;288;0;0.31;0
1622;Daniel Maldini;ITA;MF;Milan;Serie A;208;2;148;0.63;1.88;0.63
1623;Youssef Maleh;ITA;MF;Fiorentina;Serie A;2328;11;1019;0.18;1.86;0.44
1624;Donyell Malen;NED;FW;Dortmund;Bundesliga;2327;20;1684;0.27;2.51;1.12
1625;Ruslan Malinovskyi;UKR;FWMF;Atalanta;Serie A;2930;19;1592;0.34;3.28;0.96
1626;Hugo Mallo;ESP;DF;Celta Vigo;La Liga;3021;21;1826;0.05;0.89;0.1
1627;Lennard Maloney;USA;DF;Dortmund;Bundesliga;222;0;9;0;0;0
1628;Mickael Malsa;MTQ;MF;Levante;La Liga;2626;11;1143;0.08;1.02;0.16
1629;Giorgi Mamardashvili;GEO;GK;Valencia;La Liga;2118;18;1620;0;0;0
1630;Rey Manaj;ALB;FW;Spezia;Serie A;2530;19;1768;0.26;2.6;0.71
1631;Hianga Mananga Mbock;FRA;MF;Brest;Ligue 1;2214;9;799;0;1.01;0
1632;Vincent Manceau;FRA;DF;Angers;Ligue 1;3228;25;2361;0;0.15;0
1633;Gianluca Mancini;ITA;DF;Roma;Serie A;2633;33;2878;0;0.75;0.19
1634;Leonardo Mancuso;ITA;FW;Empoli;Serie A;308;5;425;0.21;2.55;1.06
1635;Steve Mandanda;FRA;GK;Marseille;Ligue 1;379;9;810;0;0;0
1636;Reinildo Mandava;MOZ;DF;Lille;Ligue 1;2818;18;1524;0.06;0.36;0.18
1637;Reinildo Mandava;MOZ;DF;Atl�tico Madrid;La Liga;2817;15;1298;0;0.14;0
1638;A�ssa Mandi;ALG;DF;Villarreal;La Liga;3017;14;1375;0.07;0.65;0.2
1639;Rolando Mandragora;ITA;MF;Torino;Serie A;2421;16;1319;0;1.56;0.34
1640;Anthony Mandrea;FRA;GK;Angers;Ligue 1;2510;10;900;0;0;0
1641;Sadio Man�;SEN;FW;Liverpool;Premier League;3034;32;2819;0.51;3.16;1.18
1642;Eliaquim Mangala;FRA;DF;Saint-�tienne;Ligue 1;3114;14;1179;0.08;0.23;0.08
1643;Orel Mangala;BEL;MF;Stuttgart;Bundesliga;2428;22;1853;0.05;0.83;0.39
1644;Thomas Mangani;FRA;MF;Angers;Ligue 1;3533;25;2193;0.29;0.45;0.12
1645;Ricardo Mangas;POR;DF;Bordeaux;Ligue 1;2429;27;2353;0.11;0.65;0.19
1646;Kostas Manolas;GRE;DF;Napoli;Serie A;304;3;313;0;0;0
1647;Javier Manquillo;ESP;DF;Newcastle Utd;Premier League;2819;15;1257;0.07;0.29;0.14
1648;Myziane Maolida;FRA;MFFW;Nice;Ligue 1;231;0;34;0;2.5;0
1649;Myziane Maolida;FRA;FWMF;Hertha BSC;Bundesliga;2314;9;776;0.12;1.63;0.35
1650;Sekou Mara;FRA;FW;Bordeaux;Ligue 1;1926;8;905;0.59;3.56;1.58
1651;Maranh�o;BRA;FWMF;Valencia;La Liga;2529;8;973;0.09;2.87;0.74
1652;Nikola Mara�;SRB;DF;Rayo Vallecano;La Liga;2616;11;1044;0;0.17;0
1653;Fernando Mar�al;BRA;DF;Wolves;Premier League;3318;17;1449;0;0.68;0.06
1654;Marcelo;BRA;DF;Real Madrid;La Liga;3411;4;442;0;1.63;0.61
1655;Marcelo;BRA;DF;Bordeaux;Ligue 1;3511;11;898;0;0.3;0
1656;Marcelo;BRA;DF;Lyon;Ligue 1;352;2;180;0;1;0
1657;Solly March;ENG;DFFW;Brighton;Premier League;2731;17;1746;0;1.08;0.52
1658;Riccardo Marchizza;ITA;DF;Empoli;Serie A;2419;16;1346;0;0.53;0.07
1659;Gian Marco Ferrari;ITA;DF;Sassuolo;Serie A;3036;35;3124;0.03;0.72;0.26
1660;Iv�n Marcone;ARG;MF;Elche;La Liga;3120;10;809;0;0.22;0
1661;�scar de Marcos;ESP;DF;Athletic Club;La Liga;3322;19;1679;0.05;0.16;0.16
1662;Davide Marfella;ITA;GK;Napoli;Serie A;221;0;11;0;0;0
1663;Jos� Mari;ESP;MF;C�diz;La Liga;3411;4;386;0;0.93;0.23
1664;Pablo Mar�;ESP;DF;Udinese;Serie A;2815;15;1341;0.13;0.67;0.34
1665;Pablo Mar�;ESP;DF;Arsenal;Premier League;282;2;180;0;0.5;0
1666;Jos� Mar�a Gim�nez;URU;DF;Atl�tico Madrid;La Liga;2724;24;2042;0.04;0.79;0.22
1667;Mariano;DOM;FW;Real Madrid;La Liga;289;3;342;0.26;3.68;0.79
1668;R?zvan Marin;ROU;MF;Cagliari;Serie A;2636;31;2816;0;1.31;0.22
1669;Guillermo Marip�n;CHI;DF;Monaco;Ligue 1;2826;21;1832;0;0.34;0.1
1670;Mika M�rmol;ESP;DF;Barcelona;La Liga;191;0;1;0;0;0
1671;Omar Marmoush;EGY;FWMF;Stuttgart;Bundesliga;2321;19;1571;0.17;2.8;0.74
1672;Omar Marmoush;EGY;FW;Wolfsburg;Bundesliga;232;0;24;0;3.33;0
1673;Marquinhos;BRA;DF;Paris S-G;Ligue 1;2832;32;2861;0.16;0.66;0.22
1674;Roger Mart�;ESP;FW;Levante;La Liga;3129;25;2115;0.3;1.96;0.68
1675;Anthony Martial;FRA;FWMF;Sevilla;La Liga;269;7;490;0;1.3;0.56
1676;Anthony Martial;FRA;FW;Manchester Utd;Premier League;268;2;212;0.42;2.08;0.83
1677;Mart�n;ESP;MF;C�diz;La Liga;236;1;115;0;1.54;0
1678;Aar�n Mart�n;ESP;DF;Mainz 05;Bundesliga;2528;25;2292;0.04;0.71;0.16
1679;Ander Martin;ESP;FWMF;Real Sociedad;La Liga;215;1;88;0;4;2
1680;Andr�s Mart�n;ESP;FWMF;Rayo Vallecano;La Liga;227;1;186;0;2.38;0.48
1681;Carlos Mart�n;ESP;DF;Atl�tico Madrid;La Liga;201;0;6;0;0;0
1682;Iv�n Mart�n;ESP;MF;Alav�s;La Liga;236;2;166;0;0.56;0
1683;Jonas Martin;FRA;MF;Rennes;Ligue 1;3229;24;2105;0.04;0.9;0.17
1684;Martinelli;BRA;FWMF;Arsenal;Premier League;2029;21;1860;0.29;2.42;0.72
1685;Lucas Mart�nez Quarta;ARG;DF;Fiorentina;Serie A;2620;16;1431;0.06;1.01;0.25
1686;Emiliano Mart�nez;ARG;GK;Aston Villa;Premier League;2936;36;3240;0;0;0
1687;I�igo Mart�nez;ESP;DF;Athletic Club;La Liga;3127;26;2341;0.12;1.04;0.35
1688;Javi Mart�nez;ESP;MF;Osasuna;La Liga;2226;9;879;0.1;0.92;0.2
1689;Josep Martinez;ESP;GK;RB Leipzig;Bundesliga;241;1;90;0;0;0
1690;Lautaro Mart�nez;ARG;FW;Inter;Serie A;2435;28;2282;0.83;4.37;1.85
1691;Pablo Mart�nez;ESP;MF;Levante;La Liga;2413;7;656;0;1.51;0.14
1692;Gelson Martins;POR;FWMF;Monaco;Ligue 1;2732;24;1905;0.19;1.37;0.52
1693;Adam Maru�i?;MNE;DF;Lazio;Serie A;2933;30;2721;0.03;0.3;0.1
1694;Omar Mascarell;ESP;MF;Elche;La Liga;2932;30;2493;0;0.43;0.04
1695;Andrea Masiello;ITA;DF;Genoa;Serie A;367;6;515;0;0.35;0
1696;Adam Masina;MAR;DF;Watford;Premier League;2815;13;1077;0;0.42;0
1697;Erhan Ma�ovi?;SRB;DF;Bochum;Bundesliga;2320;17;1552;0;0.29;0
1698;Roberto Massimo;GER;DFFW;Stuttgart;Bundesliga;2119;11;877;0.21;2.06;1.13
1699;Arthur Masuaku;COD;DFFW;West Ham;Premier League;2813;6;650;0.14;0.56;0.14
1700;Jaime Mata;ESP;FW;Getafe;La Liga;3322;4;672;0.13;1.2;0.4
1701;Juan Mata;ESP;MF;Manchester Utd;Premier League;347;2;235;0;1.92;0.38
1702;Pape Matar Sarr;SEN;MF;Metz;Ligue 1;1933;22;2129;0.04;1.35;0.34
1703;Eliot Matazo;BEL;MF;Monaco;Ligue 1;2018;8;790;0;0.45;0.11
1704;Ale� Mat?j?;CZE;DF;Venezia;Serie A;259;9;727;0;0.25;0.25
1705;Jean-Philippe Mateta;FRA;FW;Crystal Palace;Premier League;2422;13;1145;0.39;2.91;1.42
1706;Nemanja Mati?;SRB;MF;Manchester Utd;Premier League;3323;16;1382;0;0.39;0.06
1707;Jo�l Matip;CMR;DF;Liverpool;Premier League;3031;31;2790;0.1;1.1;0.23
1708;Chrislain Matsima;FRA;DF;Monaco;Ligue 1;207;1;134;0;0.67;0
1709;Azor Matusiwa;NED;MF;Reims;Ligue 1;2429;29;2463;0.04;0.36;0.18
1710;Neal Maupay;FRA;FW;Brighton;Premier League;2532;25;2276;0.32;2.33;0.55
1711;Stephy Mavididi;ENG;FWMF;Montpellier;Ligue 1;2330;27;2299;0.31;2.31;0.9
1712;Konstantinos Mavropanos;GRE;DF;Stuttgart;Bundesliga;2431;31;2705;0.13;1.1;0.37
1713;Eric Maxim Choupo-Moting;CMR;FWMF;Bayern Munich;Bundesliga;3320;1;377;0.95;3.57;1.9
1714;Lu�s Maximiano;POR;GK;Granada;La Liga;2334;34;3046;0;0;0
1715;Borja Mayoral;ESP;FWDF;Roma;Serie A;255;1;96;0;0.91;0
1716;Borja Mayoral;ESP;FW;Getafe;La Liga;2518;11;1044;0.52;1.38;0.52
1717;Derek Mazou-Sacko;FRA;FWDF;Troyes;Ligue 1;172;0;3;0;0;0
1718;Pasquale Mazzocchi;ITA;DF;Salernitana;Serie A;2615;15;1269;0;0.43;0.14
1719;Pasquale Mazzocchi;ITA;DF;Venezia;Serie A;2618;15;1243;0;0.43;0
1720;Kevin Mbabu;SUI;DF;Wolfsburg;Bundesliga;2724;14;1391;0;0.32;0
1721;Kylian Mbapp�;FRA;FW;Paris S-G;Ligue 1;2335;34;3023;0.83;4.29;1.79
1722;Ibrahima Mbaye;SEN;DF;Bologna;Serie A;276;1;108;0;0;0
1723;Amadou Mbengue;SEN;DFMF;Metz;Ligue 1;2012;5;610;0;0.44;0
1724;Bryan Mbeumo;FRA;FW;Brentford;Premier League;2235;34;2905;0.12;2.38;0.59
