Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1013;Serge Gnabry;GER;FWDF;Bayern Munich;Bundesliga;2634;25;2185;0.58;2.8;1.07
1014;Ben Godfrey;ENG;DF;Everton;Premier League;2423;23;2029;0;0.8;0.27
1015;Diego God�n;URU;DF;Cagliari;Serie A;3611;9;818;0;0.77;0
1016;Edoardo Goldaniga;ITA;MFDF;Sassuolo;Serie A;281;0;1;0;0;0
1017;Edoardo Goldaniga;ITA;DF;Cagliari;Serie A;2811;11;934;0;0.48;0.1
1018;Aleksandr Golovin;RUS;FWMF;Monaco;Ligue 1;2527;17;1502;0.18;1.38;0.42
1019;Andr� Gomes;POR;MF;Everton;Premier League;2814;7;619;0;2.03;0.58
1020;Angel Gomes;ENG;MFFW;Lille;Ligue 1;2124;12;954;0.09;1.32;0.19
1021;Toti Gomes;POR;DF;Wolves;Premier League;234;4;360;0;0.25;0
1022;Dani G�mez;ESP;FW;Levante;La Liga;2328;11;1063;0.34;2.63;1.19
1023;Joe Gomez;ENG;DF;Liverpool;Premier League;258;4;331;0;0.27;0
1024;Maxi G�mez;URU;FW;Valencia;La Liga;2529;21;1956;0.23;1.94;0.55
1025;Moi G�mez;ESP;MFFW;Villarreal;La Liga;2729;13;1286;0.14;0.91;0.35
1026;Papu G�mez;ARG;MFFW;Sevilla;La Liga;3429;19;1784;0.25;1.72;0.61
1027;Sergi G�mez;ESP;DF;Espanyol;La Liga;3031;31;2720;0.03;0.23;0.1
1028;Alfred Gomis;SEN;GK;Rennes;Ligue 1;2825;25;2250;0;0;0
1029;Maxime Gonalons;FRA;MF;Granada;La Liga;3324;19;1460;0;0.68;0.12
1030;Vagner Gon�alves;CPV;MFFW;Metz;Ligue 1;263;0;86;0;1;1
1031;Cedric Gondo;CIV;FW;Salernitana;Serie A;2514;10;699;0.13;2.56;1.15
1032;�lvaro Gonz�lez;ESP;DF;Marseille;Ligue 1;326;5;451;0;0.4;0
1033;Diego Gonz�lez;ESP;DF;Elche;La Liga;2728;19;1793;0;0.2;0.05
1034;�dgar Gonz�lez;ESP;DF;Betis;La Liga;2521;14;1464;0.06;0.31;0.12
1035;Giovanni Gonz�lez;URU;DF;Mallorca;La Liga;279;3;365;0.24;0.73;0.24
1036;Nicol�s Gonz�lez;ESP;MF;Barcelona;La Liga;2027;12;1114;0.16;1.37;0.24
1037;Nicol�s Gonz�lez;ARG;FW;Fiorentina;Serie A;2433;26;2357;0.27;2.63;0.76
1038;Peter Gonz�lez;DOM;MFDF;Real Madrid;La Liga;193;0;27;0;6.67;3.33
1039;Roberto Gonz�lez;ESP;FWMF;Betis;La Liga;214;1;135;0;1.33;0
1040;Charlie Goode;ENG;DF;Brentford;Premier League;266;4;450;0;0.4;0
1041;Anthony Gordon;ENG;MFFW;Everton;Premier League;2135;25;2285;0.16;1.73;0.75
1042;Kaide Gordon;ENG;FW;Liverpool;Premier League;171;0;9;0;10;10
1043;Leon Goretzka;GER;MF;Bayern Munich;Bundesliga;2719;19;1396;0.19;2.97;0.77
1044;Gori;ESP;MF;Espanyol;La Liga;201;0;9;0;0;0
1045;Andoni Gorosabel;ESP;DF;Real Sociedad;La Liga;2532;25;2289;0;0.43;0
1046;Robin Gosens;GER;DF;Atalanta;Serie A;276;5;460;0.2;2.94;0.78
1047;Robin Gosens;GER;DF;Inter;Serie A;277;0;169;0;2.11;0.53
1048;Dan Gosling;ENG;MF;Watford;Premier League;324;2;166;0.56;1.11;0.56
1049;Amine Gouiri;FRA;FWMF;Nice;Ligue 1;2238;32;2754;0.33;2.29;1.05
1050;Jeffrey Gouweleeuw;NED;DF;Augsburg;Bundesliga;3029;29;2576;0.07;0.38;0.14
1051;Jonathan Gradit;FRA;DF;Lens;Ligue 1;2935;35;3067;0;0.15;0
1052;Jens Grahl;GER;GK;Eint Frankfurt;Bundesliga;331;1;90;0;0;0
1053;Alberto Grassi;ITA;MF;Cagliari;Serie A;2730;26;2174;0;1.03;0.08
1054;Jaume Grau;ESP;MF;Osasuna;La Liga;251;0;3;0;0;0
1055;Andrew Gravillon;FRA;DF;Reims;Ligue 1;2426;24;2135;0;0.68;0.17
1056;Demarai Gray;ENG;MFFW;Everton;Premier League;2534;28;2338;0.19;2.5;0.58
1057;Adrian Grbi?;AUT;FWMF;Lorient;Ligue 1;2516;4;518;0.17;2.07;1.03
1058;Ivo Grbi?;CRO;GK;Lille;Ligue 1;2621;21;1890;0;0;0
1059;Jack Grealish;ENG;FW;Manchester City;Premier League;2626;22;1914;0.14;2.11;0.75
1060;Etienne Green;ENG;GK;Saint-�tienne;Ligue 1;2115;15;1197;0;0;0
1061;Julian Green;USA;MF;Greuther F�rth;Bundesliga;2624;12;1054;0;1.54;0.43
1062;Mason Greenwood;ENG;FWMF;Manchester Utd;Premier League;2018;16;1271;0.35;3.4;1.28
1063;Sam Greenwood;ENG;MFFW;Leeds United;Premier League;207;1;237;0;1.54;0
1064;Michael Gregoritsch;AUT;FWMF;Augsburg;Bundesliga;2825;15;1392;0.58;2.65;1.03
1065;Dominik Greif;SVK;GK;Mallorca;La Liga;251;1;90;0;0;0
1066;Cl�ment Grenier;FRA;MF;Mallorca;La Liga;315;0;60;1.43;1.43;1.43
