264:1990,31,Bora Milutinovic,768
265:1990,28,Hoe Taik Lee,774
266:1990,39,Mahmoud El Gohary,778
267:1990,25,Olle Nordin,779
268:1990,40,Andy Roxburgh,783
269:1990,70,Carlos Alberto Parreira,786
270:1990,34,Josef Hickersberger,790
271:1990,212,Bob Gansler,791
272:1990,218,Valeriy Lobanovskyi,797
273:1986,3,Carlos Bilardo,721
274:1986,11,Franz Beckenbauer,832
275:1986,4,Henri Michel,836
276:1986,2,Guy Thys,760
277:1986,5,Bobby Robson,749
278:1986,7,Miguel Munoz,842
279:1986,1,Tele Santana,844
280:1986,13,Bora Milutinovic,846
281:1986,47,Cayetano Re,847
282:1986,10,Sepp Piontek,849
283:1986,6,Enzo Bearzot,851
284:1986,22,Jose Faria,853
285:1986,26,Antoni Piechniczek,854
286:1986,14,Omar Borras,856
287:1986,72,Ivan Vutsov,857
288:1986,218,Valeriy Lobanovskyi,797
289:1986,40,Alex Ferguson,862
290:1986,37,Rabah Saadane,864
291:1986,59,Billy Bingham,867
292:1986,68,Evaristo,871
293:1986,9,Jose Torres,873
294:1986,28,Jung Nam Kim,877
295:1986,41,Tony Waiters,882
296:1986,36,Gyorgy Mezey,884
297:1982,6,Enzo Bearzot,920
298:1982,11,Jupp Derwall,832
299:1982,26,Antoni Piechniczek,924
300:1982,4,Michel Hidalgo,925
301:1982,1,Tele Santana,919
302:1982,7,Jose Santamaria,936
303:1982,5,Ron Greenwood,937
304:1982,59,Billy Bingham,938
305:1982,218,Konstantin Beskov,940
306:1982,3,Cesar Luis Menotti,941
307:1982,34,Georg Schmidt,947
308:1982,2,Guy Thys,951
309:1982,149,Carlos Alberto Parreira,956
310:1982,216,Jozef Venglos,957
311:1982,37,Rachid Mekhloufi,958
312:1982,29,Luis Alberto Santibanez,959
313:1982,80,Jose De La Paz,963
314:1982,217,Miljan Miljanic,964
315:1982,43,Jean Vincent,965
316:1982,74,Mauricio Rodriguez,968
317:1982,105,John Adshead,969
318:1982,23,Tim,970
319:1982,36,Kalman Meszoly,976
320:1982,40,Jock Stein,887
321:1978,3,Cesar Luis Menotti,941
322:1978,8,Ernst Happel,1023
323:1978,1,Claudio Coutinho,1026
324:1978,6,Enzo Bearzot,920
325:1978,34,Helmut Senekowitsch,1032
326:1978,11,Helmut Schoen,1033
327:1978,26,Jacek Gmoch,1035
328:1978,23,Marcos Calderon,1037
329:1978,7,Ladislao Kubala,1047
330:1978,25,Georg Ericson,1048
331:1978,20,Heshmat Mohadjerani,1049
332:1978,40,Alistair Macleod,1053
333:1978,4,Michel Hidalgo,925
334:1978,36,Lajos Baroti,1055
335:1978,13,Jose Roca,1059
336:1978,30,Abdelmajid Chetali,1062
337:1974,8,Rinus Michels,1081
338:1974,11,Helmut Schoen,1082
339:1974,1,Mario Zagallo,1084
340:1974,26,Kazimierz Gorski,1035
341:1974,3,Vladislao Cap,1087
